"","API_Number","Document.Number","Receive.Date","Operator.Number","Operator","Address","City","State","Zip.Code","API.State.Code","API.County.Code","API.Sequence.Number","Well.Name","Well.Number","Qtr.Qtr","Section","Township","Range","Shut.In.Injection.well","Last.approved.MIT","Test.Type","Describe.Repairs.or.Other.Activities.","Injection.Producing.Zones","Perforation.Interval","Open.Hole.Interval","Bridge.Cement.Plug.Depth","Test.Date","Well.Status.during.test","Casing.Before","Initial.Tubing","Final.Tubing","Start.Casing","X5.Min.Casing","X10.Min.Casing","Final.Casing","Loss.or.Gain","Witness","Date.Submitted","Form.Status","Status.Date","Latitude","Longitude","Utm_X","Utm_Y"
"1549","05-069-06227",1727146,"5/14/2015 0:00:00",29625,"TOM FENNO PRODUCTION LLC                          ","1707  AVIAN DR                                    ","FORT COLLINS                  ","CO","80525     ","05","069","06227","REDWIN                             ","22-4           ","NWNE  ",22,"9N    ","68W    ","INJECTION           ","5/13/2010 0:00:00","5-YEAR UIC TEST","-","MDDY  ","5989-6030                     ","                         ","      ","5/13/2015 0:00:00","IJ",0,0,0,860,860,860,860,0,"Y","5/13/2015 0:00:00","APPROVED  ","7/22/2015 15:18:22",40.737858,-104.986976,501100,4509658
"1550","05-069-06227",401611427,"4/17/2018 14:53:31",29625,"TOM FENNO PRODUCTION LLC                          ","1707  AVIAN DR                                    ","FORT COLLINS                  ","CO","80525     ","05","069","06227","REDWIN                             ","22-4           ","NWNE  ",22,"9N    ","68W    ","INJECTION           ","7/14/2017 0:00:00","VERIFICATION OF REPAIRS","-Repair HIT by hydrotest tubing string and replace packer","MDDY  ","5989-6030                     ","                         ","      ","4/13/2018 0:00:00","SI",0,0,0,1260,1260,1260,1260,0,"Y","4/17/2018 14:53:31","APPROVED  ","5/7/2018 8:22:25",40.737858,-104.986976,501100,4509658
"1551","05-069-06240",401445904,"10/31/2017 12:14:06",29625,"TOM FENNO PRODUCTION LLC                          ","1707  AVIAN DR                                    ","FORT COLLINS                  ","CO","80525     ","05","069","06240","CLARKS LAKE MUDDY UNIT             ","15-1           ","SESE  ",15,"9N    ","68W    ","INJECTION           ","7/16/2012 0:00:00","VERIFICATION OF REPAIRS","-Install 4 1/2"" liner to 5967', cement 4 1/2"" X 5 1/2"" annulus to surface.","MDDY  ","5984' - 6054'                 ","                         ","      ","10/27/2017 0:00:00","SI",0,0,0,1520,1520,1520,1520,0,"Y","10/31/2017 12:14:06","APPROVED  ","11/7/2017 16:54:22",40.742325,-104.985842,501195,4510153
"1552","05-069-06240",401365060,"8/3/2017 15:58:29",29625,"TOM FENNO PRODUCTION LLC                          ","1707  AVIAN DR                                    ","FORT COLLINS                  ","CO","80525     ","05","069","06240","CLARKS LAKE MUDDY UNIT             ","15-1           ","SESE  ",15,"9N    ","68W    ","INJECTION           ","7/16/2012 0:00:00","5-YEAR UIC TEST","-","MDDYJ ","5986-6054                     ","                         ","5874  ","7/14/2017 0:00:00","IJ",0,600,600,1000,0,0,0,-1000,"Y","8/3/2017 15:58:29","Failed    ","8/3/2017 15:58:29",40.742325,-104.985842,501195,4510153
"1553","05-069-06240",200357853,"7/27/2012 0:00:00",29625,"TOM FENNO PRODUCTION LLC                          ","1707  AVIAN DR                                    ","FORT COLLINS                  ","CO","80525     ","05","069","06240","CLARKS LAKE MUDDY UNIT             ","15-1           ","SESE  ",15,"9N    ","68W    ","INJECTION           ","8/10/2009 0:00:00","RESET PACKER","-Also qualifies as a 5 year UIC test","JSND  ","5986-6054                     ","","","7/16/2012 0:00:00","SI",0,90,90,1440,1430,1420,1420,-20,"Y","7/16/2012 0:00:00","APPROVED  ","7/27/2012 0:00:00",40.742325,-104.985842,501195,4510153
"1554","05-069-06240",200216257,"8/11/2009 0:00:00",29625,"TOM FENNO PRODUCTION LLC                          ","1707  AVIAN DR                                    ","FORT COLLINS                  ","CO","80525     ","05","069","06240","CLARKS LAKE MUDDY UNIT             ","15-1           ","SESE  ",15,"9N    ","68W    ","INJECTION           ","","5-YEAR UIC TEST","-","DK-LY ","5984-6034                     ","NA                       ","NA    ","8/10/2009 0:00:00","PD",0,0,0,1700,1700,1700,1700,0,"Y","8/10/2009 0:00:00","APPROVED  ","8/11/2009 0:00:00",40.742325,-104.985842,501195,4510153
"1555","05-069-06252",237224,"10/29/2003 0:00:00",95233,"WELLINGTON OPERATING COMPANY                      ","6065 S QUEBEC ST  STE 201                         ","ENGLEWOOD                     ","CO","80111     ","05","069","06252","MSSU                               ","19-3           ","SESW  ",19,"8N    ","68W    ","INJECTION           ","11/2/1994 0:00:00","5-YEAR UIC TEST","-","MDDY  ","4634-4688                     ","NA                       ","NA    ","2/1/1999 0:00:00","IJ",0,880,880,1180,1180,1180,1180,0,"Y","2/1/1999 0:00:00","APPROVED  ","2/3/1999 0:00:00",40.640801,-105.04987,495783,4498885
"1556","05-069-06252",402153621,"8/26/2019 10:58:03",10312,"PROSPECT ENERGY LLC                               ","1036 COUNTRY CLUB ESTATES DR                      ","CASTLE ROCK                   ","CO","80108     ","05","069","06252","MSSU                               ","19-3           ","SESW  ",19,"8N    ","68W    ","INJECTION           ","6/11/2014 0:00:00","VERIFICATION OF REPAIRS","-Install 4.5"" liner (11.6#) from 4595' to surface. Cement to surface.","MDDY  ","4634-4688                     ","                         ","      ","8/16/2019 0:00:00","SI",0,-1,-1,1560,1560,1560,1560,0,"Y","8/26/2019 10:58:03","APPROVED  ","8/29/2019 7:23:05",40.640801,-105.04987,495783,4498885
"1557","05-069-06252",200056811,"7/15/2004 0:00:00",95233,"WELLINGTON OPERATING COMPANY                      ","6065 S QUEBEC ST  STE 201                         ","ENGLEWOOD                     ","CO","80111     ","05","069","06252","MSSU                               ","19-3           ","SESW  ",19,"8N    ","68W    ","INJECTION           ","2/1/1999 0:00:00","5-YEAR UIC TEST","-","MDDY  ","4634-4688                     ","","","7/13/2004 0:00:00","IJ",0,965,965,1095,1085,1080,1060,-35,"Y","","APPROVED  ","7/15/2004 0:00:00",40.640801,-105.04987,495783,4498885
"1558","05-069-06254",200037917,"4/25/2003 0:00:00",95233,"WELLINGTON OPERATING COMPANY                      ","6065 S QUEBEC ST  STE 201                         ","ENGLEWOOD                     ","CO","80111     ","05","069","06254","FORT COLLINS UNIT                  ","30-9           ","NWNW  ",30,"8N    ","68W    ","INJECTION           ","11/7/1996 0:00:00","5-YEAR UIC TEST","-","MDDY  ","4483-4535                     ","","","7/11/2001 0:00:00","IJ",75,580,580,1130,1130,1130,1130,0,"Y","7/11/2001 0:00:00","APPROVED  ","7/11/2001 0:00:00",40.638326,-105.053377,495486,4498610
"1559","05-069-06254",900826,"6/29/2006 0:00:00",95233,"WELLINGTON OPERATING COMPANY                      ","6065 S QUEBEC ST  STE 201                         ","ENGLEWOOD                     ","CO","80111     ","05","069","06254","MSSU                               ","30-9           ","NWNW  ",30,"8N    ","68W    ","INJECTION           ","7/11/2001 0:00:00","5-YEAR UIC TEST","-","MDDY  ","4483-88                       ","NA                       ","NA    ","6/27/2006 0:00:00","AC",0,-1,-1,500,500,500,500,0,"Y","6/27/2006 0:00:00","APPROVED  ","6/29/2006 0:00:00",40.638326,-105.053377,495486,4498610
"1560","05-069-06255",900788,"6/29/2006 0:00:00",95233,"WELLINGTON OPERATING COMPANY                      ","6065 S QUEBEC ST  STE 201                         ","ENGLEWOOD                     ","CO","80111     ","05","069","06255","MSSU                               ","30-10          ","NWNE  ",30,"8N    ","68W    ","INJECTION           ","7/11/2001 0:00:00","5-YEAR UIC TEST","-","MDDYJ ","4575-4617                     ","NA                       ","NA    ","6/27/2006 0:00:00","SI",0,0,0,500,500,500,500,0,"Y","6/27/2006 0:00:00","APPROVED  ","6/29/2006 0:00:00",40.63841,-105.047605,495975,4498619
"1561","05-069-06255",200317054,"8/4/2011 0:00:00",10312,"PROSPECT ENERGY LLC                               ","1600 STOUT ST STE 1710                            ","DENVER                        ","CO","80202     ","05","069","06255","MSSU                               ","30-10          ","NWNE  ",30,"8N    ","68W    ","INJECTION           ","6/27/2006 0:00:00","5-YEAR UIC TEST","-","MDDYJ ","4575-4617                     ","NA                       ","","8/4/2011 0:00:00","SI",0,0,0,520,520,520,520,0,"Y","8/4/2011 0:00:00","APPROVED  ","8/4/2011 0:00:00",40.63841,-105.047605,495975,4498619
"1562","05-069-06255",200037918,"4/25/2003 0:00:00",95233,"WELLINGTON OPERATING COMPANY                      ","6065 S QUEBEC ST  STE 201                         ","ENGLEWOOD                     ","CO","80111     ","05","069","06255","MUDDY SANDSTONE UNIT               ","30-10          ","NENW  ",30,"8N    ","68W    ","INJECTION           ","6/25/1996 0:00:00","5-YEAR UIC TEST","-","MDDYJ ","4575-4617                     ","","","7/11/2001 0:00:00","IJ",0,0,0,420,416,413,410,-10,"Y","7/11/2001 0:00:00","APPROVED  ","7/11/2001 0:00:00",40.63841,-105.047605,495975,4498619
"1563","05-069-06256",900785,"6/29/2006 0:00:00",95233,"WELLINGTON OPERATING COMPANY                      ","6065 S QUEBEC ST  STE 201                         ","ENGLEWOOD                     ","CO","80111     ","05","069","06256","MSSU                               ","30-11          ","NENW  ",30,"8N    ","68W    ","INJECTION           ","7/13/2004 0:00:00","VERIFICATION OF REPAIRS","TUBING/PACKER LEAK-replace packer and test tubing","MDDY  ","4760-4809                     ","NA                       ","NA    ","6/27/2006 0:00:00","AC",0,1100,1100,1300,1300,1300,1300,0,"Y","6/27/2006 0:00:00","APPROVED  ","6/29/2006 0:00:00",40.63575,-105.050368,495741,4498324
"1564","05-069-06256",1771289,"4/8/2011 0:00:00",10312,"PROSPECT ENERGY LLC                               ","1600 STOUT ST STE 1710                            ","DENVER                        ","CO","80202     ","05","069","06256","MSSU                               ","30-11          ","NENW  ",30,"8N    ","68W    ","INJECTION           ","6/27/2006 0:00:00","VERIFICATION OF REPAIRS","OTHER-CEMENT TOP JOB: REMEDIAL CEMENT WORK COMPLETED TO ISOLATE THE HYGIENE FORMATION IN THE ANNULUS BETWEEN SURFACE CASING AND PRODUCTION CASING.  310 SX WAS PLACED FROM 1510 FT KB TO 376 FT KB.","MDDY  ","4706-4760                     ","NA                       ","NA    ","3/18/2011 0:00:00","AC",NA,0,0,1275,1275,1275,1275,0,"","3/29/2011 0:00:00","APPROVED  ","4/8/2011 0:00:00",40.63575,-105.050368,495741,4498324
"1565","05-069-06256",250101,"10/29/2003 0:00:00",95233,"WELLINGTON OPERATING COMPANY                      ","6065 S QUEBEC ST  STE 201                         ","ENGLEWOOD                     ","CO","80111     ","05","069","06256","MSSU                               ","30-11          ","NENW  ",30,"8N    ","68W    ","INJECTION           ","11/2/1994 0:00:00","5-YEAR UIC TEST","-","MDDY  ","4706-4760                     ","NA                       ","NA    ","2/1/1999 0:00:00","IJ",0,1230,1230,1500,1500,1500,1500,0,"Y","2/1/1999 0:00:00","APPROVED  ","2/1/1999 0:00:00",40.63575,-105.050368,495741,4498324
"1566","05-069-06256",200056806,"7/15/2004 0:00:00",95233,"WELLINGTON OPERATING COMPANY                      ","6065 S QUEBEC ST  STE 201                         ","ENGLEWOOD                     ","CO","80111     ","05","069","06256","MSSU                               ","30-11          ","NENW  ",30,"8N    ","68W    ","INJECTION           ","2/1/1999 0:00:00","5-YEAR UIC TEST","-","MDDY  ","4809-4760                     ","","","7/13/2004 0:00:00","IJ",0,1140,1140,1210,1200,1195,1190,-20,"","","APPROVED  ","7/15/2004 0:00:00",40.63575,-105.050368,495741,4498324
"1567","05-069-06257",200388186,"10/10/2013 0:00:00",10312,"PROSPECT ENERGY LLC                               ","1600 STOUT ST STE 1710                            ","DENVER                        ","CO","80202     ","05","069","06257","MSSU                               ","30-12          ","NWNW  ",30,"8N    ","68W    ","INJECTION           ","11/24/2008 0:00:00","VERIFICATION OF REPAIRS","CASING LEAK-cement squeeze 3480-3700 to repair leak","MDDY  ","4974-5038                     ","NA                       ","NA    ","10/8/2013 0:00:00","PA",0,-1,-1,1030,1030,1030,1030,0,"","10/8/2013 0:00:00","APPROVED  ","10/10/2013 0:00:00",40.638283,-105.05337,495487,4498606
"1568","05-069-06257",200037919,"4/25/2003 0:00:00",95233,"WELLINGTON OPERATING COMPANY                      ","6065 S QUEBEC ST  STE 201                         ","ENGLEWOOD                     ","CO","80111     ","05","069","06257","MUDDY SANDSTONE UNIT               ","30-12          ","NWNW  ",30,"8N    ","68W    ","INJECTION           ","2/1/1999 0:00:00","VERIFICATION OF REPAIRS","TUBING/PACKER LEAK-Well had packer leak.  Ran new packer and tubing in well to repair.","MDDY  ","4974-5038                     ","","","10/1/2002 0:00:00","IJ",0,1040,1040,1260,1265,1270,1280,20,"Y","","APPROVED  ","10/3/2002 0:00:00",40.638283,-105.05337,495487,4498606
"1569","05-069-06257",401737311,"8/20/2018 12:16:21",10312,"PROSPECT ENERGY LLC                               ","1036 COUNTRY CLUB ESTATES DR                      ","CASTLE ROCK                   ","CO","80108     ","05","069","06257","MSSU                               ","30-12          ","NWNW  ",30,"8N    ","68W    ","INJECTION           ","10/8/2013 0:00:00","5-YEAR UIC TEST","-","MDDY  ","4974 - 5038                   ","                         ","      ","8/7/2018 0:00:00","IJ",0,860,870,1040,1000,1000,1000,-40,"Y","8/20/2018 12:16:21","APPROVED  ","2/12/2019 12:52:44",40.638283,-105.05337,495487,4498606
"1570","05-069-06259",200362987,"9/13/2012 0:00:00",29625,"TOM FENNO PRODUCTION LLC                          ","1707  AVIAN DR                                    ","FORT COLLINS                  ","CO","80525     ","05","069","06259","CLARKS LAKE MUDDY SAND UNIT        ","15-64          ","SWNE  ",15,"9N    ","68W    ","INJECTION           ","4/2/2010 0:00:00","SI/TA MAINTENANCE STATUS","-This injection well needed casing repairs. The well has had repairs and has been tested for a TA status.","MDDY  ","5933-5992                     ","NA                       ","5870  ","9/12/2012 0:00:00","PA",0,NA,NA,360,360,360,360,0,"","9/12/2012 0:00:00","APPROVED  ","9/12/2012 0:00:00",40.748721,-104.987124,501087,4510863
"1571","05-069-06259",200246669,"5/6/2010 0:00:00",29625,"TOM FENNO PRODUCTION LLC                          ","1707  AVIAN DR                                    ","FORT COLLINS                  ","CO","80525     ","05","069","06259","CLARKS LAKE MUDDY SAND UNIT        ","15-64          ","SWNE  ",15,"9N    ","68W    ","INJECTION           ","9/14/2004 0:00:00","VERIFICATION OF REPAIRS","CASING LEAK-casing cement squeeze.  ","MDDY  ","NA                            ","NA                       ","5870  ","4/2/2010 0:00:00","TA",0,NA,NA,1850,1850,1850,1850,0,"Y","4/2/2010 0:00:00","APPROVED  ","5/6/2010 0:00:00",40.748721,-104.987124,501087,4510863
"1572","05-069-06259",200411690,"9/3/2014 0:00:00",29625,"TOM FENNO PRODUCTION LLC                          ","1707  AVIAN DR                                    ","FORT COLLINS                  ","CO","80525     ","05","069","06259","CLARKS LAKE MUDDY SAND UNIT        ","15-64          ","SWNE  ",15,"9N    ","68W    ","INJECTION           ","9/12/2012 0:00:00","VERIFICATION OF REPAIRS","TUBING/PACKER AND  CASING LEAK-CMT block squeeze, replace packer.","MDDYJ ","5933-5922                     ","NA                       ","","9/3/2014 0:00:00","TA",0,-1,NA,1000,1000,980,980,-20,"","9/3/2014 0:00:00","APPROVED  ","9/3/2014 0:00:00",40.748721,-104.987124,501087,4510863
"1573","05-069-06259",1177478,"10/31/2003 0:00:00",29625,"TOM FENNO PRODUCTION LLC                          ","1707  AVIAN DR                                    ","FORT COLLINS                  ","CO","80525     ","05","069","06259","CLARKS LAKE MUDDY UNIT             ","15-64          ","SWNE  ",15,"9N    ","68W    ","INJECTION           ","9/13/1994 0:00:00","5-YEAR UIC TEST","-","MDDY  ","5933-5992                     ","NA                       ","NA    ","7/15/1999 0:00:00","IJ",0,2100,2100,755,755,755,755,0,"Y","7/15/1999 0:00:00","APPROVED  ","7/16/1999 0:00:00",40.748721,-104.987124,501087,4510863
"1574","05-069-06259",200059766,"9/15/2004 0:00:00",29625,"TOM FENNO PRODUCTION LLC                          ","1707  AVIAN DR                                    ","FORT COLLINS                  ","CO","80525     ","05","069","06259","CLARKS LAKE MUDDY SAND UNIT        ","15-64          ","SWNE  ",15,"9N    ","68W    ","INJECTION           ","7/15/1999 0:00:00","5-YEAR UIC TEST","-","MDDY  ","5933-5992                     ","","","9/14/2004 0:00:00","IJ",0,2050,2050,540,540,540,530,-10,"Y","","APPROVED  ","9/15/2004 0:00:00",40.748721,-104.987124,501087,4510863
"1575","05-069-06259",401472327,"11/30/2017 12:16:02",29625,"TOM FENNO PRODUCTION LLC                          ","1707  AVIAN DR                                    ","FORT COLLINS                  ","CO","80525     ","05","069","06259","CLARKS LAKE MUDDY SAND UNIT        ","15-64          ","SWNE  ",15,"9N    ","68W    ","INJECTION           ","9/3/2014 0:00:00","VERIFICATION OF REPAIRS","-Replace 2 7/8"" tubing jt w/ pinhole.  Hydrotest rest of tubing string to 6500 psi.  Replace packer.","MDDY  ","5933-5992                     ","                         ","      ","11/27/2017 0:00:00","SI",0,0,0,880,860,860,860,-20,"Y","11/30/2017 12:16:02","APPROVED  ","3/7/2018 8:05:30",40.748721,-104.987124,501087,4510863
"1576","05-069-06263",200314124,"6/29/2011 0:00:00",29625,"TOM FENNO PRODUCTION LLC                          ","1707  AVIAN DR                                    ","FORT COLLINS                  ","CO","80525     ","05","069","06263","REDWIN                             ","22-75          ","NESE  ",22,"9N    ","68W    ","INJECTION           ","6/27/2006 0:00:00","5-YEAR UIC TEST","-","MDDY  ","6107-6156                     ","","","6/28/2011 0:00:00","PA",0,1940,1940,1800,1800,1800,1780,-20,"Y","6/28/2011 0:00:00","APPROVED  ","6/29/2011 0:00:00",40.732334,-104.984493,501309,4509044
"1577","05-069-06263",401598110,"4/5/2018 12:02:20",29625,"TOM FENNO PRODUCTION LLC                          ","1707  AVIAN DR                                    ","FORT COLLINS                  ","CO","80525     ","05","069","06263","REDWIN                             ","22-75          ","NESE  ",22,"9N    ","68W    ","SHUT-IN             ","6/28/2011 0:00:00","SI/TA MAINTENANCE STATUS","-Press test 5 1/2"" casing from 4250'-6008', 420 psi with no loss.  Place cement plug inside 5 1/2"" casing from 3603-4250'.  Pressure test 5 1/2"" casing from 3603'- surface to 410 psi and chart test.  Reclassify well to TA prod.","MDDYJ ","6107-6156                     ","                         ","6008  ","4/2/2018 0:00:00","SI",0,0,0,410,410,410,410,0,"N","4/5/2018 12:02:20","APPROVED  ","5/7/2018 15:52:10",40.732334,-104.984493,501309,4509044
"1578","05-069-06263",401993147,"4/2/2019 12:21:32",29625,"TOM FENNO PRODUCTION LLC                          ","1707  AVIAN DR                                    ","FORT COLLINS                  ","CO","80525     ","05","069","06263","REDWIN                             ","22-75          ","NESE  ",22,"9N    ","68W    ","SHUT-IN             ","4/2/2018 0:00:00","SI/TA MAINTENANCE STATUS","-","MDDYJ ","6107-6156                     ","                         ","6008  ","4/1/2019 0:00:00","SI",0,NA,NA,380,380,380,380,0,"N","4/2/2019 12:21:32","APPROVED  ","4/5/2019 9:44:11",40.732334,-104.984493,501309,4509044
"1579","05-069-06263",800780,"6/29/2006 0:00:00",29625,"TOM FENNO PRODUCTION LLC                          ","1707  AVIAN DR                                    ","FORT COLLINS                  ","CO","80525     ","05","069","06263","REDWIN                             ","22-75          ","NESE  ",22,"9N    ","68W    ","INJECTION           ","7/17/2001 0:00:00","5-YEAR UIC TEST","-","MDDY  ","6107-6156                     ","NA                       ","NA    ","6/27/2006 0:00:00","AC",0,2100,2100,2000,2000,2000,2000,0,"Y","6/27/2006 0:00:00","APPROVED  ","6/29/2006 0:00:00",40.732334,-104.984493,501309,4509044
"1580","05-069-06263",200037899,"4/25/2003 0:00:00",17547,"CLARKS LAKE OPERATING COMPANY                     ","P O BOX 329                                       ","WELLINGTON                    ","CO","80549     ","05","069","06263","REDWIN                             ","22-75          ","NESE  ",22,"9N    ","68W    ","INJECTION           ","","5-YEAR UIC TEST","-Note:  Initial test of converted producer","MDDY  ","","","","7/17/2001 0:00:00","IJ",0,1000,1000,1550,1530,1510,1500,-50,"Y","","APPROVED  ","7/18/2001 0:00:00",40.732334,-104.984493,501309,4509044
"1581","05-069-06284",401963280,"10/3/2019 16:20:47",10312,"PROSPECT ENERGY LLC                               ","1036 COUNTRY CLUB ESTATES DR                      ","CASTLE ROCK                   ","CO","80108     ","05","069","06284","MSSU                               ","30-17          ","NENE  ",30,"8N    ","68W    ","INJECTION           ","3/6/2014 0:00:00","5-YEAR UIC TEST","-","MDDY  ","4991-5039                     ","                         ","      ","3/6/2019 0:00:00","IJ",0,1200,1200,1500,1500,1500,1500,0,"Y","10/3/2019 16:20:47","APPROVED  ","11/6/2019 13:03:18",40.637094,-105.040656,496562,4498473
"1582","05-069-06284",200040630,"6/30/2003 0:00:00",95233,"WELLINGTON OPERATING COMPANY                      ","6065 S QUEBEC ST  STE 201                         ","ENGLEWOOD                     ","CO","80111     ","05","069","06284","MUDDY SANDSTONE UNIT               ","30-17          ","NENE  ",30,"8N    ","68W    ","INJECTION           ","7/28/1998 0:00:00","5-YEAR UIC TEST","-","MDDY  ","","","","6/25/2003 0:00:00","IJ",0,1400,1400,1510,1510,1510,1510,0,"Y","","APPROVED  ","6/30/2003 0:00:00",40.637094,-105.040656,496562,4498473
"1583","05-069-06285",402121791,"7/26/2019 15:25:24",10312,"PROSPECT ENERGY LLC                               ","1036 COUNTRY CLUB ESTATES DR                      ","CASTLE ROCK                   ","CO","80108     ","05","069","06285","MSSU                               ","19-8           ","NESE  ",19,"8N    ","68W    ","INJECTION           ","6/11/2014 0:00:00","VERIFICATION OF REPAIRS","-5-year UIC test and install of 4 1/2"" liner from surface to 4695' KB","MDDY  ","4742'-4794'                   ","                         ","      ","7/23/2019 0:00:00","SI",0,0,0,1520,1520,1520,1520,0,"Y","7/26/2019 15:25:24","APPROVED  ","7/29/2019 8:18:53",40.644148,-105.043098,496356,4499256
"1584","05-069-06285",1190596,"3/31/2004 0:00:00",95233,"WELLINGTON OPERATING COMPANY                      ","6065 S QUEBEC ST  STE 201                         ","ENGLEWOOD                     ","CO","80111     ","05","069","06285","MUDDY SANDSTONE UNIT               ","19-8           ","NESE  ",19,"8N    ","68W    ","INJECTION           ","","5-YEAR UIC TEST","-initial test","JSND  ","4744-4794                     ","NA                       ","NA    ","3/30/2004 0:00:00","SI",0,0,0,1400,1400,1400,1400,0,"Y","3/30/2004 0:00:00","APPROVED  ","3/31/2004 0:00:00",40.644148,-105.043098,496356,4499256
"1585","05-069-06287",883215,"8/1/2003 0:00:00",95233,"WELLINGTON OPERATING COMPANY                      ","6065 S QUEBEC ST  STE 201                         ","ENGLEWOOD                     ","CO","80111     ","05","069","06287","MSSU                               ","19-4           ","SENW  ",19,"8N    ","68W    ","INJECTION           ","7/23/2002 0:00:00","VERIFICATION OF REPAIRS","TUBING/PACKER LEAK-Replace bad tbg and reset packer","MDDY  ","","","","6/27/2003 0:00:00","IJ",0,1000,1000,1550,1545,1535,1530,-20,"N","","APPROVED  ","8/1/2003 0:00:00",40.64896,-105.051087,495681,4499791
"1586","05-069-06287",200056804,"7/15/2004 0:00:00",95233,"WELLINGTON OPERATING COMPANY                      ","6065 S QUEBEC ST  STE 201                         ","ENGLEWOOD                     ","CO","80111     ","05","069","06287","MSSU                               ","19-4           ","SENW  ",19,"8N    ","68W    ","INJECTION           ","6/27/2003 0:00:00","VERIFICATION OF REPAIRS","TUBING/PACKER LEAK-Reset packer","MDDY  ","5111-5174                     ","","","7/13/2004 0:00:00","IJ",0,1320,1320,1410,1410,1410,1410,0,"Y","","APPROVED  ","7/15/2004 0:00:00",40.64896,-105.051087,495681,4499791
"1587","05-069-06287",200037923,"4/25/2003 0:00:00",95233,"WELLINGTON OPERATING COMPANY                      ","6065 S QUEBEC ST  STE 201                         ","ENGLEWOOD                     ","CO","80111     ","05","069","06287","MUDDY SANDSTONE UNIT               ","19-4           ","SENW  ",19,"8N    ","68W    ","INJECTION           ","7/16/1997 0:00:00","5-YEAR UIC TEST","-","MDDY  ","","","","7/23/2002 0:00:00","IJ",50,1270,1270,1610,1600,1595,1590,-20,"Y","","APPROVED  ","7/25/2002 0:00:00",40.64896,-105.051087,495681,4499791
"1588","05-069-06289",401369147,"8/8/2017 14:45:34",10312,"PROSPECT ENERGY LLC                               ","1036 COUNTRY CLUB ESTATES DR                      ","CASTLE ROCK                   ","CO","80108     ","05","069","06289","MSSU                               ","19-9           ","NESE  ",19,"8N    ","68W    ","INJECTION           ","8/8/2012 0:00:00","5-YEAR UIC TEST","-","MDDY  ","5034-5095                     ","                         ","      ","7/30/2017 0:00:00","IJ",0,1200,1200,1300,1300,1300,1300,0,"Y","8/8/2017 14:45:34","APPROVED  ","2/16/2018 14:08:23",40.644183,-105.043116,496354,4499260
"1589","05-069-06289",200113862,"6/29/2007 0:00:00",95233,"WELLINGTON OPERATING COMPANY                      ","6065 S QUEBEC ST  STE 201                         ","ENGLEWOOD                     ","CO","80111     ","05","069","06289","MSSU                               ","19-9           ","NESE  ",19,"8N    ","68W    ","INJECTION           ","7/23/2002 0:00:00","5-YEAR UIC TEST","-","MDDYJ ","5034 - 5095                   ","","","6/26/2007 0:00:00","AC",0,1240,1240,1500,1490,1490,1490,-10,"Y","6/26/2007 0:00:00","APPROVED  ","6/29/2007 0:00:00",40.644183,-105.043116,496354,4499260
"1590","05-069-06289",200037926,"4/25/2003 0:00:00",95233,"WELLINGTON OPERATING COMPANY                      ","6065 S QUEBEC ST  STE 201                         ","ENGLEWOOD                     ","CO","80111     ","05","069","06289","MUDDY SANDSTONE UNIT               ","19-9           ","NESE  ",19,"8N    ","68W    ","INJECTION           ","7/16/2002 0:00:00","5-YEAR UIC TEST","-","MDDY  ","","","","7/23/2002 0:00:00","IJ",0,1290,1290,1630,1625,1625,1625,-5,"Y","","APPROVED  ","7/25/2002 0:00:00",40.644183,-105.043116,496354,4499260
"1591","05-069-06289",200359760,"8/13/2012 0:00:00",10312,"PROSPECT ENERGY LLC                               ","1600 STOUT ST STE 1710                            ","DENVER                        ","CO","80202     ","05","069","06289","MSSU                               ","19-9           ","NESE  ",19,"8N    ","68W    ","INJECTION           ","6/26/2007 0:00:00","5-YEAR UIC TEST","-","MDDY  ","5034-5095                     ","NA                       ","NA    ","8/8/2012 0:00:00","PA",0,1240,1240,1400,1400,1400,1400,0,"Y","8/8/2012 0:00:00","APPROVED  ","8/8/2012 0:00:00",40.644183,-105.043116,496354,4499260
"1592","05-069-06291",1180576,"4/8/2004 0:00:00",29625,"TOM FENNO PRODUCTION LLC                          ","1707  AVIAN DR                                    ","FORT COLLINS                  ","CO","80525     ","05","069","06291","REDWIN                             ","22-66          ","NWSE  ",22,"9N    ","68W    ","INJECTION           ","","5-YEAR UIC TEST","-","MDDY  ","6099-6154                     ","NA                       ","NA    ","7/16/1999 0:00:00","SI",0,0,0,310,310,310,310,0,"Y","7/16/1999 0:00:00","APPROVED  ","7/16/1999 0:00:00",40.730597,-104.987165,501084,4508852
"1593","05-069-06291",200366998,"10/29/2012 0:00:00",29625,"TOM FENNO PRODUCTION LLC                          ","1707  AVIAN DR                                    ","FORT COLLINS                  ","CO","80525     ","05","069","06291","REDWIN                             ","22-66          ","NWSE  ",22,"9N    ","68W    ","INJECTION           ","6/17/2009 0:00:00","5-YEAR UIC TEST","-","MDDY  ","6099-6154                     ","NA                       ","NA    ","10/25/2012 0:00:00","SI",0,600,600,2000,2000,2000,1975,-25,"","10/25/2012 0:00:00","APPROVED  ","10/29/2012 0:00:00",40.730597,-104.987165,501084,4508852
